Timestamp,RequestId,Timer,Distance,Id

2026-02-03 13:21:15.628,9aa1c612058847bc9b5481a7dce0f735,00:04:21.183,7,1
2026-02-03 13:21:17.677,dbe0545ac813483ba5685d93c7569d81,00:04:23.244,5.385164807134504,2
2026-02-03 13:21:19.650,e7bd438376fa43d1950c47c156f55091,00:04:25.217,5.0990195135927845,3
2026-02-03 13:21:57.334,64f4f9c060cf4129bef12b8fb8ad7464,00:05:02.902,7,1
2026-02-03 13:24:17.461,4a61308e8fc045e0af1f1c5f85cce137,00:00:22.829,7,1
2026-02-03 13:24:19.291,f3d46add4db34a908e6228e4d6f91d04,00:00:24.671,5.385164807134504,2
2026-02-03 13:24:21.234,7ee663138c644a1ebea9c046659c46ae,00:00:26.615,5.0990195135927845,3
2026-02-03 13:30:04.113,1da1b8d959d443de8e3b3eb2a9d76049,00:00:38.106,7,1
2026-02-03 13:30:06.749,0ed8c5c457804c20b13cd6f7171f6be1,00:00:40.753,5.385164807134504,2
2026-02-03 13:30:13.842,f62c04d96adf44e2b20bec5900a83bfd,00:00:47.846,5.0990195135927845,3
2026-02-03 13:30:16.962,3d8a5538f812438d8ae79c02666e7655,00:00:50.966,7,1
2026-02-03 13:30:19.958,2c420f8fb5fa4a86acabf60a2dfa18c9,00:00:53.960,7,1
2026-02-03 13:31:17.887,23cbcc984bbf407db320285f3a82b53b,00:01:51.890,235.32155690013278,1
2026-02-03 13:31:20.857,fe9194507dc34c16b1a564f200d034fa,00:01:54.860,234.30246963039554,2
2026-02-03 13:31:23.049,dc7573fd9dcc4c1596896e5d38565e0c,00:01:57.053,233.3153647060185,3
2026-02-03 13:31:39.958,13438bf17179452788a6d57258dd2662,00:02:13.961,279.93933958217536,3
2026-02-03 13:32:02.431,d0bfeb2f57834d9d9012f6e1f2988290,00:02:36.434,290.7786853959059,1
2026-02-03 13:32:09.211,a51e684acfa448b2b9fc0fb86ca12c03,00:02:43.215,289.73198680049364,2
2026-02-03 14:10:26.945,875bcb99f425408e95d5a627e4ccf809,00:01:37.420,7,1
2026-02-03 14:10:37.765,90176021c11b414ba587f9528e1e36d7,00:01:48.252,5.385164807134504,2
